IP 地址,已发送,已接收,丢包率,平均延迟,下载速度(MB/s),地区码
172.64.159.138,4,4,0.00,78.84,28.97,HKG
172.64.152.82,4,4,0.00,75.99,24.84,HKG
172.64.147.155,4,4,0.00,77.12,15.62,HKG
172.64.153.248,4,4,0.00,77.12,13.82,HKG
172.64.155.183,4,4,0.00,65.38,11.42,HKG
172.64.157.67,4,4,0.00,62.56,7.36,HKG
172.64.145.10,4,4,0.00,73.51,4.02,HKG
104.19.66.95,4,4,0.00,187.84,0.00,N/A
198.41.204.48,4,4,0.00,165.34,0.00,N/A
104.17.234.123,4,4,0.00,188.00,0.00,N/A
172.64.158.44,4,4,0.00,78.84,0.00,N/A
104.17.102.22,4,4,0.00,79.90,0.00,N/A
172.64.154.4,4,4,0.00,80.13,0.00,N/A
172.64.146.58,4,4,0.00,81.02,0.00,N/A
104.17.22.135,4,4,0.00,81.38,0.00,N/A
104.17.23.216,4,4,0.00,81.48,0.00,N/A
104.18.33.204,4,4,0.00,81.61,0.00,N/A
104.17.53.36,4,4,0.00,82.23,0.00,N/A
172.64.156.187,4,4,0.00,82.80,0.00,N/A
104.18.166.73,4,4,0.00,83.17,0.00,N/A
172.64.229.211,4,4,0.00,83.22,0.00,N/A
172.64.230.214,4,4,0.00,84.22,0.00,N/A
104.16.152.72,4,4,0.00,84.45,0.00,N/A
104.19.210.189,4,4,0.00,84.65,0.00,N/A
104.19.51.86,4,4,0.00,84.97,0.00,N/A
104.17.127.192,4,4,0.00,85.05,0.00,N/A
104.17.209.209,4,4,0.00,85.09,0.00,N/A
104.16.253.64,4,4,0.00,85.15,0.00,N/A
104.18.92.156,4,4,0.00,85.19,0.00,N/A
104.17.31.6,4,4,0.00,85.30,0.00,N/A
104.16.247.202,4,4,0.00,85.55,0.00,N/A
104.17.28.40,4,4,0.00,85.96,0.00,N/A
172.65.197.82,4,4,0.00,85.97,0.00,N/A
104.17.61.70,4,4,0.00,86.19,0.00,N/A
104.18.224.77,4,4,0.00,86.33,0.00,N/A
104.17.98.37,4,4,0.00,86.35,0.00,N/A
104.17.57.37,4,4,0.00,86.37,0.00,N/A
104.19.158.204,4,4,0.00,86.40,0.00,N/A
172.64.89.181,4,4,0.00,86.77,0.00,N/A
104.19.211.203,4,4,0.00,87.40,0.00,N/A
104.18.165.129,4,4,0.00,87.40,0.00,N/A
104.19.217.83,4,4,0.00,87.55,0.00,N/A
104.19.38.20,4,4,0.00,87.73,0.00,N/A
172.64.86.24,4,4,0.00,87.92,0.00,N/A
104.25.247.37,4,4,0.00,88.13,0.00,N/A
104.18.45.242,4,4,0.00,88.21,0.00,N/A
104.25.249.198,4,4,0.00,88.39,0.00,N/A
104.25.244.78,4,4,0.00,88.88,0.00,N/A
104.25.242.163,4,4,0.00,88.96,0.00,N/A
104.18.84.32,4,4,0.00,89.26,0.00,N/A
104.17.185.81,4,4,0.00,89.33,0.00,N/A
104.25.241.179,4,4,0.00,89.48,0.00,N/A
104.25.243.111,4,4,0.00,89.55,0.00,N/A
104.19.63.158,4,4,0.00,89.78,0.00,N/A
104.25.253.0,4,4,0.00,89.84,0.00,N/A
104.25.240.231,4,4,0.00,89.89,0.00,N/A
104.16.240.47,4,4,0.00,90.22,0.00,N/A
104.18.151.233,4,4,0.00,90.58,0.00,N/A
104.17.212.213,4,4,0.00,90.60,0.00,N/A
104.17.52.32,4,4,0.00,90.68,0.00,N/A
104.18.83.122,4,4,0.00,90.75,0.00,N/A
104.18.39.207,4,4,0.00,90.84,0.00,N/A
104.25.255.110,4,4,0.00,91.05,0.00,N/A
104.17.117.24,4,4,0.00,91.09,0.00,N/A
104.18.237.16,4,4,0.00,91.09,0.00,N/A
104.16.151.115,4,4,0.00,91.27,0.00,N/A
104.18.146.221,4,4,0.00,91.87,0.00,N/A
104.19.49.166,4,4,0.00,92.02,0.00,N/A
104.16.246.97,4,4,0.00,92.04,0.00,N/A
104.25.251.105,4,4,0.00,92.15,0.00,N/A
104.19.32.104,4,4,0.00,92.43,0.00,N/A
104.19.153.209,4,4,0.00,92.65,0.00,N/A
104.19.46.33,4,4,0.00,92.95,0.00,N/A
104.17.48.105,4,4,0.00,93.48,0.00,N/A
104.17.20.120,4,4,0.00,93.81,0.00,N/A
104.16.2.160,4,4,0.00,94.14,0.00,N/A
104.25.246.53,4,4,0.00,94.15,0.00,N/A
104.17.171.202,4,4,0.00,94.15,0.00,N/A
